web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680698254-1","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","00:00","Nubes dispersas","19°","11 km/h","68%","1018 hPa",""
"1680698254-2","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","null","null","null","null","null","null",""
"1680698254-3","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","00:30","Nubes dispersas","19°","13 km/h","64%","1018 hPa",""
"1680698254-4","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","01:00","Nubes dispersas","19°","17 km/h","60%","1017 hPa",""
"1680698254-5","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","01:30","Nubes dispersas","19°","13 km/h","60%","1017 hPa",""
"1680698254-6","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","02:00","Nubes dispersas","19°","15 km/h","64%","1017 hPa",""
"1680698254-7","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","02:30","Nubes dispersas","19°","15 km/h","64%","1017 hPa",""
"1680698254-8","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","03:00","Nubes dispersas","18°","13 km/h","68%","1016 hPa",""
"1680698254-9","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","03:30","Nubes dispersas","18°","15 km/h","68%","1016 hPa",""
"1680698254-10","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","04:00","Nubes dispersas","19°","15 km/h","60%","1016 hPa",""
